Inbound Train No	Day No	Arriving time at receiving area	Receiving track No	Number of blocks    	Number of cars	Destination of blocks (number of cars)	Starting time of humping job	Ending time of humping job
i185	7	Day7,11:44	R5	25	70	AQ(1);AH(7);AC(1);AW(4);AX(4);AY(3);AA(7);AK(3);AP(4);AF(4);AD(1);AN(2);AB(3);AZ(2);BE(1);AR(2);AL(2);AV(5);BD(3);BF(3);BC(3);AJ(2);AT(1);AE(1);BG(1);	Day7,12:59	Day7,13:31
i186	7	Day7,12:13	R6	27	70	AF(2);AH(6);AA(4);AQ(1);AP(3);AW(3);BE(2);AB(1);AV(4);AZ(1);BB(4);AU(2);AX(5);AY(4);BA(1);AC(2);AN(4);AK(3);AD(3);AR(4);AE(2);BC(2);BF(2);BG(2);AS(1);AI(1);AM(1);	Day7,13:41	Day7,14:13
i173	7	Day7,12:59	R5	21	50	AC(7);AV(4);AB(2);AS(3);AK(5);AW(6);AN(4);AU(1);AQ(1);BF(2);AR(3);AE(1);AT(2);AX(1);AD(1);AY(1);AJ(1);AH(2);BB(1);BC(1);BD(1);	Day7,14:23	Day7,14:46
i187	7	Day7,13:41	R6	22	50	AF(4);AP(5);AW(4);AE(1);AX(2);AH(6);BF(1);BC(3);AV(2);BE(1);BG(1);AC(2);AD(2);AB(2);AU(2);AQ(1);AA(2);AY(4);AJ(1);AN(2);AK(1);AR(1);	Day7,14:56	Day7,15:19
i188	7	Day7,14:41	R5	30	100	BG(4);AW(6);AT(3);AK(9);BE(2);AR(7);AS(3);AV(5);AD(5);AQ(5);AJ(3);BB(3);AY(1);AU(2);AB(3);BF(3);AX(8);AH(3);AA(3);AN(4);BA(2);AC(2);AI(1);BC(1);AE(5);AP(2);AF(2);AM(1);AL(1);AG(1);	Day7,15:29	Day7,16:14
i172	7	Day7,2:28	R7	24	50	AR(2);BE(1);AL(1);AN(4);AW(4);BG(1);AH(4);AP(5);AM(1);AJ(3);AX(3);BB(2);BF(1);BC(1);AG(2);AS(1);AY(2);AF(1);AD(2);AQ(3);AB(2);AK(2);AV(1);BD(1);	Day7,16:24	Day7,16:47
i190	7	Day7,15:49	R5	30	130	AU(5);AH(10);AJ(5);AA(5);AY(4);AN(6);AR(3);AV(10);AP(8);AX(10);AD(5);BF(3);AS(4);AW(9);BB(7);BD(3);AM(1);AI(2);AK(5);AF(6);BE(3);AL(1);AO(2);AE(3);AQ(2);BG(2);AT(3);AB(1);AC(1);BC(1);	Day7,16:57	Day7,17:56
i189	7	Day7,16:24	R7	28	120	AW(10);AV(8);BB(3);AR(8);AI(2);AC(6);BF(6);AE(2);BG(5);AA(3);AQ(2);AB(4);AP(4);AJ(6);BC(3);AX(5);AH(8);AT(1);AY(7);AN(5);AS(5);BD(1);AU(3);AF(7);BE(3);AL(1);AM(1);AK(1);	Day7,18:6	Day7,19:0
i191	7	Day7,16:57	R5	23	50	AD(1);AX(4);AC(2);AP(4);AE(3);AV(4);AM(1);AH(3);AR(2);AJ(2);AK(4);AB(2);AW(3);BA(1);AA(1);AF(4);AS(1);AL(1);AN(1);BB(1);BF(2);AZ(1);BG(2);	Day7,19:10	Day7,19:33
i194	7	Day7,18:55	R7	30	100	AI(1);AH(7);AY(3);AC(5);AK(9);AN(7);AV(5);AU(4);AP(6);AR(6);AF(4);BG(3);AW(4);BE(2);BA(2);AE(5);AM(2);AX(4);BF(5);AO(1);AB(2);BB(2);AS(2);AT(3);BC(1);AJ(1);AG(1);AA(1);AD(1);AQ(1);	Day7,19:43	Day7,20:29
i195	7	Day7,19:10	R5	24	80	AN(7);AU(6);AV(4);AD(3);AC(2);AW(5);AJ(3);AH(7);AK(3);AB(4);BF(2);AQ(2);AX(6);AI(4);BG(2);AA(3);AY(2);BD(1);AT(1);AP(4);AR(4);AF(1);AS(2);BC(2);	Day7,20:39	Day7,21:15
i193	7	Day7,19:43	R7	23	60	AH(6);AX(5);AF(2);AW(4);AP(7);AA(2);AK(4);AU(1);BG(3);AV(2);AY(1);AT(1);BE(4);AR(3);AN(2);AG(1);AC(2);AJ(4);BB(1);BD(1);BF(2);BC(1);AM(1);	Day7,21:25	Day7,21:52
i197	7	Day7,20:39	R5	19	50	AE(4);AM(1);AU(2);AJ(6);AK(3);AY(3);BG(2);AP(6);BC(1);AR(2);AZ(1);BF(1);BB(1);AN(2);AH(7);AQ(1);AV(3);AX(3);AG(1);	Day7,22:2	Day7,22:25
i199	7	Day7,21:25	R7	21	50	AB(3);AP(2);AA(3);AW(6);AH(6);AG(1);AC(3);AQ(1);AD(2);AV(4);AZ(1);AF(2);AN(2);AY(1);BB(2);AE(1);AK(5);BG(1);AR(2);AM(1);AU(1);	Day7,22:35	Day7,22:58
i141	6	Day7,1:46	R3	22	40	AN(3);AP(1);AW(5);AH(4);AK(2);BB(2);BC(1);AD(1);AY(4);AJ(1);AO(1);AF(2);AE(2);AT(1);BF(2);AZ(1);AL(1);AU(1);AR(1);AC(1);AB(2);AV(1);	Day7,23:8	Day7,23:26
i200	7	Day7,22:49	R7	28	80	AA(2);AY(4);BE(3);AF(3);AN(5);BF(2);AT(1);AB(4);AX(5);AR(6);AH(3);AW(7);AK(4);AQ(3);BG(3);AV(2);AS(1);AO(2);AE(3);AP(2);AM(1);AU(2);AC(2);AZ(2);BB(2);AJ(3);BC(2);AD(1);	Day7,23:36	Day8,0:12
i201	7	Day7,23:8	R3	21	60	AB(3);BF(2);AK(5);AC(3);AW(9);AP(7);AL(1);AH(1);BG(4);AF(2);AX(4);AR(2);AD(3);AS(2);AN(2);AE(3);BE(1);AV(3);BD(1);AA(1);AJ(1);	Day8,0:22	Day8,0:49
i125	5	Day5,18:19	R4	16	40	AP(8);AK(5);AC(4);AZ(2);AH(5);AY(3);AG(1);AB(2);AE(1);AX(1);BB(1);BA(1);AJ(2);AQ(1);AU(2);AF(1);	Day8,0:59	Day8,1:18
i202	8	Day8,0:27	R3	25	70	BF(2);AN(2);AD(3);AW(6);BG(1);AV(2);AG(3);AY(2);AB(4);AF(1);AA(1);AP(8);AX(5);AH(4);AK(6);AM(1);AJ(3);AE(5);AS(2);AQ(2);BE(1);BB(2);AC(1);AR(1);AZ(2);	Day8,1:28	Day8,1:59
i196	7	Day7,22:2	R5	21	40	AJ(3);AS(1);AQ(1);AW(4);AH(5);BG(1);AN(2);AF(2);AP(4);AB(1);AV(3);AY(1);AU(1);AX(1);BE(2);AI(2);AA(1);AM(1);AG(1);BF(2);AE(1);	Day8,2:9	Day8,2:28
i203	8	Day8,1:28	R3	32	150	AI(2);AK(9);BB(5);AJ(7);AH(12);AB(4);AP(11);BC(2);AX(10);AQ(2);AU(3);AM(2);AV(7);AR(7);AE(1);AO(3);AD(7);AA(5);BG(4);AC(5);AF(9);AG(1);AW(6);BD(2);BE(3);AL(3);BA(2);AT(1);AN(4);AS(2);BF(5);AY(4);	Day8,2:38	Day8,3:46
i204	8	Day8,2:9	R5	26	90	AN(6);AS(4);AC(2);AQ(2);AH(9);AA(4);AW(7);AV(5);AY(3);AR(4);AK(3);AX(5);BC(1);AI(1);BB(1);BF(2);AF(5);AM(1);BG(3);AB(5);AL(2);AJ(4);BE(1);AP(6);AD(2);AE(2);	Day8,3:56	Day8,4:37
i206	8	Day8,3:33	R3	31	80	AD(5);AK(6);AW(5);AH(7);AY(4);AX(7);AM(2);AS(2);AT(3);AZ(1);AR(4);AG(1);AF(3);AB(1);AV(2);AP(4);AN(2);BD(1);BF(2);AO(1);BB(1);AA(2);BA(2);AE(1);BC(1);BG(2);AJ(3);AC(2);AU(1);AL(1);AI(1);	Day8,4:47	Day8,5:23
i208	8	Day8,4:47	R3	24	70	AE(2);AW(8);BG(2);AA(5);AP(2);AX(5);AV(5);AU(1);BA(3);AD(3);AR(2);AH(7);AJ(3);AM(2);AF(5);BB(2);AK(2);BE(1);AC(3);AB(1);AZ(1);AQ(3);AY(1);BC(1);	Day8,5:33	Day8,6:5
i207	8	Day8,3:56	R5	25	70	AH(12);AB(4);AR(4);BC(5);AK(3);AW(3);AO(1);AD(2);AA(1);AN(4);BG(1);AP(2);AX(4);AU(1);AM(1);AJ(2);AE(3);AF(3);AV(3);AY(3);AG(2);AT(1);AC(3);BB(1);AS(1);	Day8,6:15	Day8,6:47
i205	8	Day8,5:33	R3	25	40	AQ(1);AJ(2);AG(4);AA(2);AE(2);BG(1);BA(1);AX(1);BC(1);AT(2);BF(1);AV(1);BB(2);AK(1);BD(2);AD(4);AZ(1);AP(1);AR(2);BE(2);AF(1);AN(1);AB(1);AH(2);AY(1);	Day8,6:57	Day8,7:15
i209	8	Day8,6:15	R5	25	70	AB(4);AW(3);AN(5);AH(8);AD(2);BF(3);AM(3);AX(1);AK(6);AF(4);BB(3);AE(2);AR(2);AV(6);AI(2);BD(1);AP(3);AJ(1);AG(1);AY(2);AA(2);AC(2);BA(1);AL(2);AU(1);	Day8,7:25	Day8,7:57
i143	6	Day7,3:5	R8	26	40	AT(1);AW(1);AR(3);BB(3);AF(1);AM(2);AI(1);AE(2);AP(2);AH(2);AC(2);AN(2);AO(1);AV(2);AY(2);AB(1);AL(1);AQ(3);BE(1);AJ(1);AK(1);BG(1);AG(1);AS(1);AD(1);AA(1);	Day8,8:7	Day8,8:25
i211	8	Day8,7:44	R5	25	60	AS(3);AV(3);AQ(2);AU(2);BG(2);AE(3);AW(5);AP(3);AT(2);BA(1);BF(1);AF(5);AK(5);AD(2);AG(1);AX(3);BC(2);AL(1);AM(1);AH(6);BB(2);AB(1);AN(2);BD(1);AY(1);	Day8,8:35	Day8,9:2
i210	8	Day8,8:7	R8	21	40	AH(6);BE(1);AJ(1);AY(1);AK(2);AW(3);AS(3);AD(4);AO(1);AV(1);AR(1);AP(3);BA(2);AC(1);AX(2);AF(1);AN(3);AE(1);AB(1);AA(1);BB(1);	Day8,9:12	Day8,9:30
i126	5	Day5,22:59	R9	17	40	AW(5);BG(3);AD(4);BE(2);AY(2);AV(5);AX(1);AN(5);BC(2);AF(3);AO(1);BB(1);BF(2);AC(1);AB(1);BD(1);AH(1);	Day8,9:40	Day8,9:59
i170	6	Day7,3:42	R10	18	40	AW(6);AU(3);AP(2);AN(5);BF(2);AB(4);AV(2);AX(2);AF(2);AQ(1);AD(2);AS(1);AH(3);BC(1);AM(1);AC(1);AJ(1);AA(1);	Day8,10:9	Day8,10:27
i128	5	Day6,0:36	R1	20	30	AH(2);AW(4);AK(2);AA(2);AN(1);AT(1);AR(2);AJ(1);AX(2);AD(3);AU(1);AV(1);BG(1);AC(1);AS(1);AL(1);AM(1);AP(1);BA(1);AE(1);	Day8,10:37	Day8,10:50
i130	5	Day7,4:19	R2	18	30	AJ(2);BG(1);AV(2);BF(2);AH(6);AE(2);AD(2);AK(1);BB(1);AC(1);AW(2);AZ(1);AY(1);AO(1);BC(1);AX(2);AG(1);AF(1);	Day8,11:0	Day8,11:14
i212	8	Day8,10:19	R10	20	50	BA(1);AV(4);AB(3);AX(1);AK(3);AJ(5);AW(6);AF(4);AD(3);AH(4);AY(2);AN(2);AC(1);AE(1);AR(2);AP(3);BF(1);AS(1);AQ(1);AU(2);	Day8,11:24	Day8,11:47
i215	8	Day8,10:42	R1	26	90	AV(8);BE(3);AH(8);AW(7);AK(4);BG(2);AP(6);AR(4);AE(3);BF(2);AN(5);AF(5);AZ(2);AL(1);AJ(3);AA(3);BB(5);AY(5);AX(2);AQ(2);AT(1);AC(4);AU(2);AM(1);BC(1);AS(1);	Day8,11:57	Day8,12:38
i213	8	Day8,11:0	R2	24	70	AP(7);BF(4);AW(7);AE(3);AG(2);BB(3);BA(2);AL(2);AV(6);AH(3);AM(1);AC(2);AS(2);AX(3);AF(3);AJ(3);AB(3);AK(4);AN(4);BC(2);AR(1);AQ(1);BG(1);AD(1);	Day8,12:48	Day8,13:19
i198	7	Day8,11:57	R1	18	30	AR(1);BG(2);AG(4);BD(2);BC(1);AV(2);AW(4);AP(1);AY(1);AA(1);AN(3);AB(1);AI(2);AE(1);BA(1);AO(1);AS(1);AK(1);	Day8,13:29	Day8,13:43
i214	8	Day8,12:48	R2	17	30	AW(4);AQ(1);AY(2);BC(1);AF(3);AH(1);AD(1);AM(2);AC(3);AV(1);AK(3);AB(1);AE(1);AR(2);AP(2);AZ(1);AJ(1);	Day8,13:53	Day8,14:7
i216	8	Day8,13:29	R1	23	40	AG(1);AK(3);AZ(2);AP(1);AQ(1);AW(5);AD(2);BG(1);AH(3);AM(2);BE(2);AF(2);AV(4);AB(1);BB(1);AX(1);AN(1);AC(1);AY(1);AO(1);AJ(1);BC(2);BF(1);	Day8,14:17	Day8,14:35
i217	8	Day8,13:53	R2	28	80	AW(7);AB(4);AP(7);BE(2);BG(3);AH(5);AX(3);AC(2);AV(2);AA(4);AJ(4);AD(2);AR(4);AO(2);AE(1);AY(4);AM(1);BF(2);AI(1);AT(3);AU(1);AN(4);BB(3);AF(4);AG(1);AK(1);AZ(1);AQ(2);	Day8,14:45	Day8,15:21
i165	6	Day8,6:57	R3	17	30	AK(5);AW(1);AJ(2);AD(2);AN(3);BF(2);AX(1);AV(2);AQ(2);AP(1);BC(1);BE(3);AM(1);BB(1);AR(1);AY(1);AF(1);	Day8,15:31	Day8,15:45
i159	6	Day8,0:59	R4	16	30	AW(3);AV(2);AP(3);AN(3);BF(2);AY(3);AC(3);AH(3);AK(1);AS(1);AR(1);AD(1);AJ(1);BB(1);BC(1);AA(1);	Day8,15:55	Day8,16:9
i218	8	Day8,15:33	R1	29	70	AW(4);AM(4);AZ(1);AX(2);AB(2);BB(1);AF(7);AH(5);AN(7);AV(3);BG(3);AY(3);AQ(1);AG(1);AJ(3);AE(2);BE(2);BF(3);AK(1);AA(2);AT(3);AP(3);AR(1);AI(1);AD(1);AC(1);BD(1);AU(1);AS(1);	Day8,16:19	Day8,16:50
i166	6	Day8,8:35	R5	16	30	AW(3);AX(2);AK(1);AV(4);AM(2);AD(3);AJ(5);AY(1);BB(2);AE(1);BD(1);AH(1);AP(1);BE(1);AC(1);AQ(1);	Day8,17:0	Day8,17:14
i219	8	Day8,16:27	R2	29	90	AR(4);AD(4);AA(6);AN(4);BD(1);AY(5);AS(2);AQ(2);AP(2);AL(1);BC(3);AH(7);BE(2);BF(4);AX(4);AJ(3);AT(2);AK(5);AZ(1);AB(5);AW(5);AE(1);AV(5);AG(1);AU(2);AF(5);AM(1);BG(2);BB(1);	Day8,17:24	Day8,18:5
i142	6	Day7,14:56	R6	13	30	AQ(1);AH(7);AM(2);AX(2);AB(3);AV(4);AY(2);BC(2);AC(1);AW(2);AP(2);BB(1);AK(1);	Day8,18:15	Day8,18:29
i158	6	Day7,23:36	R7	18	30	AH(3);AE(1);AG(1);AP(4);AL(1);BF(1);AX(1);AC(3);AJ(2);AN(2);AK(4);AV(1);AD(1);AS(1);AT(1);AM(1);BG(1);AB(1);	Day8,18:39	Day8,18:52
i220	8	Day8,17:55	R3	27	80	BC(2);AX(4);AY(7);AU(3);AK(9);AR(4);BG(2);AW(6);AM(1);AC(2);AP(6);BB(5);AH(5);AL(1);AI(2);AJ(3);AZ(1);AN(3);BE(1);BD(1);AD(1);AA(3);AF(2);AV(2);AE(2);AQ(1);AS(1);	Day8,19:2	Day8,19:39
i222	8	Day8,18:20	R1	26	100	AW(5);AH(3);BF(3);AV(10);AE(4);AR(7);AN(3);AD(4);AB(8);BB(4);AX(2);AM(2);AK(3);AL(2);AJ(4);AP(8);BC(3);AA(1);BE(1);BG(6);AY(5);AF(6);AQ(1);AC(1);AS(2);AU(2);	Day8,19:49	Day8,20:34
i221	8	Day8,17:57	R2	24	50	AK(1);AN(3);AA(3);AP(5);AL(1);AJ(2);BA(1);AC(2);AH(4);AB(2);AV(4);AQ(2);AS(1);BB(1);BE(1);AR(2);AD(2);AY(2);AW(3);AM(3);BC(1);BG(1);AF(1);BF(2);	Day8,20:44	Day8,21:7
i225	8	Day8,20:4	R6	26	100	AW(10);AH(10);AK(7);AN(5);AC(5);AJ(3);BB(4);AU(2);AT(1);BG(3);AS(3);AY(3);AL(1);AV(11);BF(3);AP(4);AF(5);AM(2);AX(5);AE(3);BE(1);AQ(2);AZ(1);AB(3);AD(2);AA(1);	Day8,21:17	Day8,22:2
i223	8	Day8,18:31	R4	22	50	AJ(3);AP(3);AE(3);BC(1);AD(3);AX(2);AG(1);AC(2);AM(2);AY(2);AB(2);BA(1);AV(3);BF(1);AW(6);AZ(2);AH(4);AQ(4);AU(1);AN(1);BE(1);AR(2);	Day8,22:12	Day8,22:35
i224	8	Day8,18:46	R5	24	50	AA(1);AR(3);BB(3);AU(2);AC(5);AY(1);BE(2);AV(3);BA(1);BF(3);AM(2);AE(2);AH(3);AF(2);AX(3);AD(2);BG(1);AS(3);AW(1);AL(2);AO(1);AJ(1);AZ(1);AK(2);	Day8,22:45	Day8,23:8
i181	7	Day8,9:12	R8	19	30	AW(3);AJ(2);AK(2);AP(4);AN(1);AE(1);BD(1);AB(2);AH(2);AO(2);AX(2);AF(1);AV(1);AL(1);AD(1);AT(1);AR(1);AQ(1);BB(1);	Day8,23:18	Day8,23:31
i226	8	Day8,22:36	R7	28	100	BG(2);AW(12);AX(7);BF(5);AJ(5);AD(3);AY(5);BC(2);AE(3);AG(1);AF(9);BE(2);AU(2);AN(3);AK(2);AH(6);AP(7);AS(3);AV(6);BB(2);AR(2);AC(3);AM(2);AQ(1);AT(2);AA(1);AO(1);AB(1);	Day8,23:41	Day9,0:27
i227	8	Day8,23:38	R3	18	40	AP(4);AW(6);AK(4);AM(2);AX(4);BE(1);AV(3);AD(1);AU(2);AT(1);AJ(1);BF(2);AI(1);BG(2);AR(1);BB(1);AA(2);AH(2);	Day9,0:37	Day9,0:55
i184	7	Day8,9:40	R9	18	30	AW(3);BG(1);AC(2);AK(2);BF(3);AJ(2);BB(1);BC(1);AY(1);AP(3);BE(1);AH(2);AR(2);AA(2);AE(1);AN(1);AM(1);AL(1);	Day9,1:5	Day9,1:19
i192	7	Day8,11:24	R10	15	30	BE(1);AP(3);AJ(2);BG(3);AB(2);AF(2);AM(2);AH(5);AR(2);AY(2);AA(1);AK(2);AS(1);AW(1);AE(1);	Day9,1:29	Day9,1:42
i229	9	Day9,1:23	R2	29	100	BB(7);AP(7);AE(4);AU(2);AF(3);AQ(2);BG(2);AH(8);BA(2);AW(4);AY(6);BF(4);AR(6);BD(1);AB(4);AK(7);BC(1);AV(7);AX(5);AM(2);AJ(1);AD(1);AL(1);AC(3);AN(5);AI(1);AA(2);AO(1);AG(1);	Day9,2:8	Day9,2:53
i230	9	Day9,2:12	R4	28	100	AD(4);BF(5);AC(3);AF(7);AW(14);AH(6);AK(3);AP(3);AV(5);AJ(6);AX(4);AE(3);AL(1);BC(4);BG(4);AR(5);BB(2);AN(6);AY(2);BE(2);AI(1);AA(2);AZ(2);AT(1);AQ(1);AB(2);AU(1);AG(1);	Day9,3:3	Day9,3:49
i228	9	Day9,1:13	R1	23	50	BB(3);AL(1);AN(3);BD(1);AH(4);AF(2);AV(5);AW(3);AQ(2);AX(4);BG(4);AE(2);AC(2);AB(1);AJ(1);AK(3);BE(1);AY(2);AT(1);AR(1);AM(2);AG(1);BF(1);	Day9,3:59	Day9,4:21
i231	9	Day9,3:20	R5	20	50	AP(6);AY(3);AW(4);BG(2);AR(5);AV(3);AM(2);AD(2);AX(3);AH(6);AN(1);AC(2);AU(2);AK(1);AI(2);AB(1);AJ(1);AS(2);BF(1);BB(1);	Day9,4:31	Day9,4:54
i232	9	Day9,3:54	R6	27	80	AC(4);AH(13);AF(1);AR(2);AM(4);BB(1);AN(5);AW(9);AS(3);AV(2);AP(5);BF(3);AX(5);AK(2);AO(3);AA(1);AD(3);AJ(1);AL(1);AE(2);BG(1);AY(4);AT(1);AB(1);AQ(1);AU(1);BC(1);	Day9,5:4	Day9,5:40
i233	9	Day9,4:56	R7	20	40	AR(3);AC(1);BA(2);AV(2);AE(1);AN(2);BC(2);AH(1);AW(7);AM(2);AL(4);AA(1);AP(1);AS(1);AF(3);AD(3);BF(1);BG(1);AU(1);AX(1);	Day9,5:50	Day9,6:9
i235	9	Day9,7:15	R8	25	90	AA(2);AV(8);BE(3);AW(10);AR(3);AP(5);AL(3);AD(5);AK(6);BF(5);AQ(2);AY(5);AH(7);AF(7);AC(2);AE(2);BB(3);BG(2);AZ(1);AG(2);AU(2);AJ(1);BC(2);AM(1);AS(1);	Day9,8:0	Day9,8:41
i234	9	Day9,7:1	R3	20	30	AN(2);AA(1);AQ(1);AF(3);AW(2);AC(2);BB(2);AV(1);AR(2);AY(1);AK(3);BE(1);AH(1);BF(2);AT(1);AD(1);AB(1);AG(1);AE(1);AS(1);	Day9,8:51	Day9,9:4
i239	9	Day9,9:38	R5	32	140	AW(7);AD(6);BF(4);BE(4);AP(11);AF(6);AH(8);AL(2);BD(2);AE(4);AK(10);AV(10);AA(7);AR(6);AQ(6);AB(4);AS(3);BB(2);BG(3);AX(5);AM(5);BC(4);BA(1);AI(1);AC(3);AJ(2);AY(2);AN(5);AT(2);AG(2);AZ(2);AU(1);	Day9,10:23	Day9,11:27
i241	9	Day9,10:26	R7	30	120	AJ(7);AH(13);AV(5);BA(1);AX(6);AW(7);AN(2);BE(4);AC(5);AD(6);AF(4);AK(6);BF(4);AL(2);AU(2);AZ(3);AE(4);BG(2);AI(3);AR(5);BB(2);AY(4);AA(3);AP(8);AB(5);AO(1);AS(2);AQ(1);AT(2);BC(1);	Day9,11:37	Day9,12:31
i243	9	Day9,10:54	R9	27	110	AL(3);AF(5);AW(8);AN(4);AV(6);AH(9);AX(7);AR(9);AK(11);AE(4);BE(3);AJ(3);BD(1);AD(6);BC(2);AU(1);AO(1);BB(4);AY(3);AP(2);AQ(2);BG(9);AB(2);AM(2);AA(1);AT(1);AI(1);	Day9,12:41	Day9,13:31
i242	9	Day9,10:30	R8	25	90	AR(5);AC(1);AE(4);AP(7);BD(1);AQ(5);AX(2);AW(8);AH(6);AF(6);AV(6);BC(2);AJ(5);BB(3);AK(8);BE(1);AY(1);AD(5);AZ(2);AS(3);AT(2);BG(2);AU(3);AI(1);AB(1);	Day9,13:41	Day9,14:22
i237	9	Day9,8:35	R1	26	70	AN(5);AH(7);BG(4);AY(4);AB(3);AT(1);AV(3);AK(6);AS(1);AW(6);AL(1);AJ(2);AX(3);AU(2);AC(1);AD(3);AF(2);AR(2);AG(3);AQ(2);BF(1);AE(1);AP(3);AA(1);AM(2);BB(1);	Day9,14:32	Day9,15:4
i238	9	Day9,9:26	R4	27	60	BC(2);AN(4);AU(2);AW(6);AY(4);AH(4);BB(1);AK(2);AJ(3);AX(3);BF(1);AR(4);AM(1);AP(5);AC(1);AD(3);AQ(1);AT(1);AB(3);AV(1);AO(1);BA(1);BG(1);AI(2);AS(1);AF(1);AA(1);	Day9,15:14	Day9,15:41
i236	9	Day9,8:33	R2	24	50	BG(2);AW(5);AA(2);AL(1);AX(2);BE(1);AF(5);AH(7);AD(2);AP(2);AJ(3);AC(2);BD(1);AI(1);AR(1);AY(2);AB(1);BA(1);AG(1);AQ(2);AT(1);AS(2);AM(1);BF(2);	Day9,15:51	Day9,16:14
i240	9	Day9,9:47	R6	19	50	AJ(2);AC(2);AL(1);AV(4);AD(1);AY(5);AE(1);BB(2);AH(6);AP(3);AX(2);BE(1);AR(3);BF(3);AG(2);AF(4);AQ(1);AB(6);AA(1);	Day9,16:24	Day9,16:47
i244	9	Day9,15:55	R10	28	100	BA(2);BE(4);AC(4);AK(12);AL(2);AH(8);AR(5);AI(2);AM(1);AV(5);AW(5);AB(3);AU(3);BG(6);AN(5);AD(6);AS(1);AP(3);AX(5);AF(4);AJ(1);AY(4);BD(1);AQ(2);AE(2);BC(1);BB(2);AT(1);	Day9,16:57	Day9,17:42
i245	9	Day9,16:8	R3	24	50	AE(1);AY(1);AO(3);AS(3);AB(1);BF(4);AC(2);AQ(2);BG(3);AZ(1);AP(1);AJ(3);BC(1);AI(1);AM(2);AK(5);AW(4);BE(1);AH(4);AG(1);AD(1);BA(1);AV(2);AX(2);	Day9,17:52	Day9,18:15
i248	9	Day9,18:52	R4	29	140	AJ(7);AD(4);AB(3);AH(15);BF(4);AP(12);BC(2);AX(8);AY(5);BG(5);AK(5);AV(5);AW(10);AM(3);AR(8);AF(10);BE(4);AQ(2);AO(3);AN(6);AU(5);AA(2);BB(1);AE(3);AT(3);AS(1);AC(1);AZ(1);BD(2);	Day9,19:37	Day9,20:40
i246	9	Day9,18:3	R1	26	80	AD(3);AN(7);BG(3);AW(9);AV(5);AH(10);AF(6);AJ(4);BB(3);AL(2);AZ(1);AP(1);AK(3);AY(2);BC(2);AT(1);AU(1);AM(1);AE(2);AR(5);BA(1);AX(3);AA(1);BF(1);AB(2);AS(1);	Day9,20:50	Day9,21:27
i252	9	Day9,20:51	R8	29	100	AT(2);AF(3);AA(5);AH(8);BB(4);AP(5);BE(7);AX(6);AQ(2);AM(3);AE(2);AY(7);AR(3);AZ(1);BG(2);AD(3);AC(4);AB(7);AK(4);AV(7);AW(4);AU(1);BF(2);AO(1);BC(1);AI(1);BA(1);AJ(2);AN(2);	Day9,21:37	Day9,22:22
i253	9	Day9,21:18	R9	30	120	AB(3);AH(8);BE(4);AQ(3);AW(8);BG(8);AV(5);AY(3);AM(1);AX(6);AR(11);AF(5);AJ(4);BF(5);AL(2);AA(1);AD(3);AE(5);BB(3);BD(2);AC(2);AP(8);AO(1);AK(7);AN(4);AT(2);AS(2);BA(1);AI(2);AU(1);	Day9,22:32	Day9,23:27
i254	9	Day9,21:33	R1	30	110	AJ(9);BG(5);AK(8);AH(11);AA(2);AD(1);AT(1);BF(5);AF(2);AV(4);BE(3);AX(8);BB(5);AL(1);AY(6);AW(9);AP(4);AZ(1);AC(4);AE(4);BC(1);BD(2);AN(2);AU(2);AR(2);AS(2);AB(2);AQ(1);AM(2);AO(1);	Day9,23:37	Day10,0:27
i255	9	Day9,23:51	R3	33	100	AN(5);AW(9);AY(4);BG(3);AH(4);AI(2);AB(3);AJ(7);AV(3);BB(3);AD(6);AT(3);AC(3);AU(1);BC(1);BD(1);BE(3);AK(4);BA(2);BF(3);AO(2);AA(3);AG(3);AR(3);AZ(1);AQ(5);AP(3);AS(1);AE(1);AL(1);AF(5);AM(1);AX(1);	Day10,0:37	Day10,1:22
i251	9	Day9,20:36	R6	26	80	AU(1);AW(5);AR(5);BG(4);AN(7);AP(7);AH(12);AY(1);AC(1);AX(4);AD(5);AB(1);AL(1);AS(3);BB(3);AG(2);AF(3);AJ(1);AM(2);BC(1);BE(3);AV(1);AK(3);AZ(2);AQ(1);BF(1);	Day10,1:32	Day10,2:8
i257	10	Day10,1:18	R10	29	100	AP(7);AW(7);BG(8);AC(3);AV(7);AK(6);AM(1);AI(1);AB(4);AZ(2);AY(7);AR(3);AH(6);AF(5);BB(4);AJ(4);BF(1);AE(2);BC(1);AD(7);AN(3);AS(3);BE(1);AX(1);AU(1);BD(1);AG(2);AL(1);AT(1);	Day10,2:18	Day10,3:4
i250	9	Day9,20:9	R7	26	80	AQ(2);AB(6);AW(5);AC(6);AP(3);AY(3);AH(10);AA(3);AN(4);AX(5);AV(3);AJ(2);BF(3);AG(4);AD(2);BC(1);AR(2);AF(1);BB(2);AK(2);BG(4);AM(2);BE(2);AU(1);AE(1);AL(1);	Day10,3:14	Day10,3:50
i249	9	Day9,19:24	R5	31	70	AR(5);BF(3);BB(2);AL(1);AH(7);AY(2);AD(1);AG(2);AC(3);AM(1);BG(3);AW(3);AE(3);AI(3);AP(4);AA(1);AX(1);AS(1);AU(1);AK(5);AJ(2);AV(3);AB(1);AF(4);AT(2);AZ(1);AQ(1);BE(1);BD(1);AN(1);BC(1);	Day10,4:0	Day10,4:32
